CNPJ_CIA,DENOM_SOCIAL,SIT,DT_REG,DT_CONST,DT_CANCEL
12.648.266/0001-24,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,ATIVO,5/15/2020,8/16/2010,
12.648.266/0001-24,AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,ATIVO,5/15/2020,8/16/2010,
57.009.078/0001-94,AMELCO SA IND ELETRONICA,CANCELADA,5/23/1986,,7/21/2003
44.081.677/0001-77,AMERICA DO SUL LEAS SA ARR MER,CANCELADA,9/28/1982,10/24/1974,3/2/2000
00.776.574/0001-56,AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL,ATIVO,7/26/2007,12/13/2006,
01.223.522/0001-15,AMERICAS EMPRS ARTISTICOS SA,CANCELADA,8/19/1996,5/15/1996,3/18/2008
01.685.903/0001-16,AMERICEL SA,CANCELADA,3/26/1997,2/18/1997,9/4/2012
36.461.242/0001-20,AMIL PARTICIPAÇÕES S/A,CANCELADA,10/24/2007,1/1/1978,5/9/2013
03.494.776/0001-01,AMMO VAREJO S.A.,SUSPENSO(A) - DECISÃO ADM,12/14/2021,5/6/2013,
33.050.071/0001-58,AMPLA ENERGIA E SERVIÇOS S.A.,ATIVO,8/15/1969,6/1/1909,
07.809.905/0001-56,AMPLA INVESTIMENTOS E SERVIÇOS S/A,CANCELADA,7/27/2006,12/29/2005,5/23/2012
40.430.571/0001-80,ANCAR EMPREENDIMENTOS COMERCIAIS S/A,CANCELADA,2/26/2002,4/2/1992,12/18/2006
00.979.769/0001-01,ANCAR SHOPPING SA,CANCELADA,1/11/1996,12/1/1995,11/30/2001
76.491.661/0001-29,ANCORA COMERCIAL SA,CANCELADA,7/20/1977,,5/26/1989
60.503.232/0001-94,ANDERSON CLAYTON SA IND E COM,CANCELADA,7/20/1977,,12/23/1987
03.601.314/0001-38,ANDRADE GUTIERREZ CONCESSOES SA,CANCELADA,9/1/2003,12/13/1999,12/31/2018
04.031.960/0001-70,ANDRADE GUTIERREZ PARTICIPAÇÕES SA,CANCELADA,10/29/2001,7/31/2000,8/12/2019
38.482.780/0001-26,ANEMUS WIND HOLDING S.A.,ATIVO,6/8/2022,8/20/2020,
04.310.392/0001-46,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.,CANCELADA,6/8/2001,2/19/2001,10/8/2014
09.288.252/0001-32,ANIMA HOLDING S/A,ATIVO,10/24/2013,10/5/2007,
60.661.451/0001-00,ANSON SA ENG FUND RECUPERACOES,CANCELADA,7/15/1985,,4/2/1986
33.017.088/0001-03,APOLO PRODUTOS DE ACO SA,CANCELADA,7/9/1971,,10/30/1990
11.197.023/0001-54,AQUA-RIO S/A,CANCELADA,7/26/2010,7/8/2009,6/26/2012
45.169.000/0001-58,AQUATEC QUIMICA SA,CANCELADA,12/17/1985,,1/9/2007
09.439.783/0001-89,ÁQUILLA SECURITIZADORA SA,CANCELADA,6/24/2008,1/14/2008,3/16/2021
15.914.972/0001-69,AR CAPITAL SECURITIES COMPANHIA SECURITIZADORA S.A.,CANCELADA,9/5/2012,5/23/2012,12/4/2018
42.157.511/0001-61,ARACRUZ CELULOSE S/A,CANCELADA,2/5/1980,4/24/1972,12/31/2009
17.805.110/0001-23,ARAFERTIL SA,CANCELADA,8/26/1982,,1/13/1989
02.517.787/0001-99,ARAGUAIA CIA INDL DE PROD ALIM,CANCELADA,11/29/1973,,6/5/1987
01.543.362/0001-91,ARAGUAIA SA MIN RACOES FERTIL,CANCELADA,4/29/1987,,7/5/1988
76.516.921/0001-73,ARAPUA IMPORTACAO COMERCIO SA,CANCELADA,7/20/1977,,10/10/1996
03.616.277/0001-31,ARAUCÁRIA PARTICIPAÇÕES SA,CANCELADA,4/18/2000,11/22/1999,11/14/2014
00.237.000/0001-00,ARBRA SA,CANCELADA,2/20/1995,,1/16/2003
24.315.012/0001-73,ARCELOR BRASIL S.A.,CANCELADA,12/19/1969,12/11/1921,6/15/2007
33.390.170/0001-89,ARCELORMITTAL INOX BRASIL S.A.,CANCELADA,12/22/1971,10/31/1944,4/24/2008
92.660.158/0001-06,ARCON SA IND ELETROMETALURGICA,CANCELADA,8/5/1968,,12/3/1987
02.036.233/0001-70,ARDOSIA PARTICIPACOES SA,CANCELADA,2/26/1998,7/4/1997,11/24/2000
16.590.234/0001-76,AREZZO INDÚSTRIA E COMERCIO S/A,ATIVO,1/31/2011,9/15/1972,
02.036.220/0001-09,ARGENTUM PARTICIPACOES SA,CANCELADA,2/12/1998,7/4/1997,6/20/2000
24.624.551/0001-94,ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,ATIVO,4/24/2017,3/23/2016,
24.624.490/0001-65,ARGO TRANSMISSÃO DE ENERGIA S.A.,ATIVO,9/22/2017,3/23/2016,
20.514.590/0001-88,ARGO V TRANSMISSAO DE ENERGIA S.A.,ATIVO,3/21/2022,6/27/2014,
20.514.555/0001-69,ARGO VI TRANSMISSAO DE ENERGIA S.A.,ATIVO,3/21/2022,6/27/2014,
21.728.083/0001-00,ARGO VII TRANSMISSAO DE ENERGIA S.A.,ATIVO,3/21/2022,1/22/2015,
02.605.028/0001-88,ARGOLIS HOLDINGS S.A.,CANCELADA,7/20/1998,6/24/1998,6/30/2008
02.992.440/0001-06,ARGOLIS PARTICIPAÇÕES S/A,CANCELADA,6/21/1999,11/21/1998,4/18/2008
00.242.184/0001-04,ARMAC LOCAÇÃO,,,,
15.109.747/0001-50,ARMAZENS GERAIS EMPR UNIAO SA,CANCELADA,7/20/1977,,3/8/1991
61.064.978/0001-01,ARNO SA,CANCELADA,9/23/1968,,5/16/2000
10.976.124/0001-60,ARTEFATOS PAPEL NE SA ARTEPE,CANCELADA,12/30/1970,,11/5/1986
02.919.555/0001-67,ARTERIS S.A.,ATIVO,7/6/2005,11/9/1998,
92.189.356/0001-33,ARTHUR LANGE SA IND E COM,CANCELADA,7/20/1977,12/3/1962,1/4/2011
09.359.927/0001-97,ASA BRANCA HOLDING S.A.,ATIVO,12/20/2021,1/14/2008,
33.319.617/0001-23,ASBERIT SA,CANCELADA,2/24/1981,,3/18/1986
04.944.815/0001-80,ASO METAL SA,CANCELADA,4/27/1970,,7/6/1992
75.315.333/0001-09,ATACADÃO S.A.,ATIVO,7/18/2017,8/13/1980,
75.315.333/0001-09,ATACADÃO S.A.,ATIVO,7/18/2017,8/13/1980,
31.701.408/0001-14,ATHENA SAÚDE BRASIL S.A.,,5/11/2021,10/5/2018,11/24/2022
13.720.918/0001-57,ATIVOS BRASILEIROS S.A.,CANCELADA,8/10/2012,6/30/2010,1/7/2016
02.445.817/0001-07,ATL - ALGAR TELECOM LESTE S.A.,CANCELADA,5/13/1999,3/26/1998,7/10/2003
01.431.728/0001-30,ATLÂNTICA EMPREEND.IMOBILIÁRIOS S/A,CANCELADA,12/3/1998,7/30/1996,12/9/2002
12.610.165/0001-64,ATLETAS BRASILEIROS S/A,CANCELADA,9/3/2012,6/30/2010,9/20/2017
04.032.433/0001-80,ATMA PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL,ATIVO,10/29/2001,7/31/2000,
61.510.996/0001-70,ATMA SA,CANCELADA,8/19/1970,,3/22/2005
00.886.257/0001-92,ATMOSFERA GESTÃO E HIGIENIZAÇÃO DE TÊXTEIS SA,CANCELADA,4/3/2007,10/25/1995,4/20/2009
00.359.742/0001-08,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,ATIVO,2/28/1996,,
03.453.981/0001-10,AUFERVILLE TRUST SA,CANCELADA,1/26/2000,9/27/1999,3/18/2008
08.213.823/0001-07,AURA ALMAS MINERAÇÃO S.A.,ATIVO,1/6/2022,7/12/2006,
28.594.234/0001-23,AUREN ENERGIA S.A,ATIVO,2/25/2022,8/1/2017,
00.160.436/0001-48,AUSTRAL INVESTIMENTOS SA,CANCELADA,12/2/1994,8/23/1994,1/13/2003
47.709.365/0001-53,AUTEL SA TELECOMUNICAÇOES,CANCELADA,5/30/1994,5/20/1976,8/7/2007
59.104.513/0001-95,AUTOMETAL S/A,CANCELADA,2/3/2011,2/27/1967,10/14/2014
43.513.237/0001-89,AUTOMOB S.A.,ATIVO,1/23/2024,8/30/2021,
09.326.342/0001-70,AUTOPISTA FERNÃO DIAS SA,ATIVO,3/29/2010,12/19/2007,
09.324.949/0001-11,AUTOPISTA FLUMINENSE SA,ATIVO,3/29/2010,12/19/2007,
09.313.969/0001-97,AUTOPISTA LITORAL SUL,ATIVO,3/29/2010,12/19/2007,
09.325.109/0001-73,AUTOPISTA PLANALTO SUL SA,ATIVO,3/29/2010,10/26/2009,
09.336.431/0001-06,AUTOPISTA REGIS BITTENCOURT SA,ATIVO,3/29/2010,12/19/2007,
40.281.347/0001-74,AUTOTRAC COMERCIO E TELECOMUNICAÇÕES,CANCELADA,10/4/2006,1/1/1994,7/3/2009
02.679.185/0001-38,AUTOVIAS S/A,CANCELADA,11/27/2009,7/23/1998,9/16/2019
51.996.601/0001-37,AUXILIAR LEASING SA ARR MERC,CANCELADA,11/26/1981,,1/30/1991
46.047.288/0001-50,AUXILIAR SA PARTICIPACOES,CANCELADA,6/20/1984,,8/9/2005
27.956.690/0001-03,AUZZA SECURITIZADORA S. A.,ATIVO,1/19/2018,5/17/2017,
15.011.696/0001-29,AVAL SECURITIZADORA DE CREDITOS S.A.,CANCELADA,8/8/2016,2/7/2012,11/30/2017
54.649.819/0001-03,AVARA SA,CANCELADA,10/19/1971,,10/11/1989
61.351.532/0001-68,AZEVEDO & TRAVASSOS SA,ATIVO,8/20/1984,6/25/1922,
09.305.994/0001-29,AZUL S.A.,ATIVO,4/7/2017,1/3/2008,
09.346.601/0001-25,B3 S.A. - BRASIL,,,,
09.346.601/0001-25,B3 S.A. - BRASIL,,,,
15.195.464/0001-78,BACRAFT SA INDUSTRIA DE PAPEL,CANCELADA,7/20/1977,,5/12/2006
04.781.143/0001-39,BAESA-ENERGETICA BARRA GRANDE SA,CANCELADA,9/29/2004,9/27/2001,4/29/2016
13.605.696/0001-21,BAHEMA AGROPECUARIA SA,CANCELADA,7/20/1977,,8/30/1991
45.987.245/0001-92,BAHEMA EDUCACAO S.A.,ATIVO,1/2/1974,11/19/1960,
96.832.365/0001-51,BAHEMA EQUIPAMENTOS SA,CANCELADA,2/10/1999,8/17/1993,10/31/2003
15.258.023/0001-78,BAHIA OTHON PALACE HOTEL SA,CANCELADA,11/30/1973,,10/26/1984
01.554.970/0001-00,BAHIA TRUST DE RECEBIVEIS,CANCELADA,2/5/1997,11/24/1993,10/28/1999
09.462.852/0001-75,BALADARE PARTICIPAÇÕES S/A,CANCELADA,7/31/2008,12/29/2007,5/27/2010
76.659.101/0001-30,BAMERINDUS SA CRED IMOBILIARIO,CANCELADA,7/20/1977,,11/27/1987
75.170.076/0001-64,BAMERINDUS SA FINANC CRED INV,CANCELADA,7/20/1977,,5/9/1989
76.543.156/0001-80,BAMERINDUS SA PARTICIPAÇÕES E EMPREENDIMENTOS - EM LIQUIDAÇÃO EXTRAJUDICIAL,CANCELADA,7/20/1977,6/3/1966,1/9/2007
28.195.667/0001-06,BANCO ABC BRASIL S/A,ATIVO,7/23/2007,12/27/1983,
10.664.513/0001-50,BANCO AGIBANK S.A.,CANCELADA,6/21/2018,1/6/2009,1/18/2019
24.986.770/0001-13,BANCO AGRIMISA SA,CANCELADA,7/20/1977,,3/22/2005
60.770.336/0001-65,BANCO ALFA DE INVESTIMENTO S.A.,CANCELADA,7/20/1977,6/13/1966,3/28/2024
33.870.163/0001-84,BANCO ALVORADA S.A.,CANCELADA,5/2/1996,9/19/1968,10/28/2003
76.543.115/0001-94,BANCO BAMERINDUS BRASIL SA,CANCELADA,7/20/1977,9/23/1952,7/18/2006
63.090.609/0001-19,BANCO BANDEIRANTES DE INVESTIMENTOS SA,CANCELADA,7/20/1977,4/13/1971,10/31/2001
15.142.490/0001-38,BANCO BANEB SA,CANCELADA,7/20/1977,,12/1/2000
76.492.172/0001-91,BANCO BANESTADO SA,CANCELADA,7/20/1977,3/27/1928,8/29/2003
10.781.532/0001-67,BANCO BANORTE SA EM LIQUIDAÇÃO EXTRAJUDICIAL,CANCELADA,7/20/1977,5/5/1942,7/18/2006
60.898.723/0001-81,BANCO BCN S.A.,CANCELADA,7/20/1977,,7/28/1998
04.562.120/0001-33,BANCO BEA SA,CANCELADA,7/20/1977,12/18/1956,1/30/2003
01.540.541/0001-75,BANCO BEG S.A.,CANCELADA,7/20/1977,11/14/1951,8/29/2003
15.124.464/0001-87,BANCO BESA SA,CANCELADA,7/20/1977,1834-07-13,4/10/2023
61.186.680/0001-74,BANCO BMG S/A,CANCELADA,7/20/1977,,3/14/1994
61.186.680/0001-74,BANCO BMG S/A,ATIVO,12/17/2018,3/25/1965,
33.485.541/0001-06,BANCO BOAVISTA INTERATLÂNTICO S.A.,CANCELADA,7/20/1977,,12/8/1999
15.114.366/0001-69,BANCO BOCOM BBM S.A.,CANCELADA,7/20/1977,,7/26/1993
71.027.866/0001-34,BANCO BONSUCESSO S.A.,CANCELADA,7/9/2007,1/1/1992,10/16/2008
06.271.464/0001-19,BANCO BRADESCO BBI S.A.,CANCELADA,11/13/1978,2/3/1930,8/6/2004
33.147.315/0001-15,BANCO BRADESCO BERJ S.A.,CANCELADA,7/20/1977,8/8/1966,6/11/2012
60.746.948/0001-12,BANCO BRADESCO S.A.,ATIVO,7/20/1977,3/2/1943,
30.306.294/0001-45,BANCO BTG PACTUAL S/A,ATIVO,11/10/2011,1/18/1979,
33.349.358/0001-83,BANCO CACIQUE SA,CANCELADA,7/20/1977,,12/27/1988
07.814.999/0001-51,BANCO COMERCIAL BANCESA S.A.,CANCELADA,7/20/1977,,3/22/2005
61.230.165/0001-44,BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.,CANCELADA,7/20/1977,,8/24/2000
21.562.962/0001-04,BANCO CREDITO REAL DE MG SA,CANCELADA,7/20/1977,,6/30/1998
52.940.350/0001-31,BANCO CREFISUL S.A.,CANCELADA,7/20/1977,,5/9/2006
04.902.979/0001-44,BANCO DA AMAZÔNIA S.A.,ATIVO,7/20/1977,7/9/1942,
62.232.889/0001-90,BANCO DAYCOVAL S.A.,ATIVO,6/27/2007,8/5/1968,
10.866.788/0001-77,BANCO DE PERNAMBUCO S.A. - BANDEPE,CANCELADA,7/20/1977,8/20/1938,3/24/2003
15.163.587/0001-27,BANCO DESENV ESTADO BAHIA SA,CANCELADA,7/20/1977,,11/4/1999
00.000.000/0001-91,BANCO DO BRASIL S.A.,ATIVO,7/20/1977,12/30/1905,
03.468.907/0001-78,BANCO DO ESTADO DE MATO GROSSO S.A.,CANCELADA,10/17/1985,7/31/1951,1/9/2007
83.876.003/0001-10,BANCO DO ESTADO DE SANTA CATARINA S/A - BESC,CANCELADA,7/20/1977,6/14/1962,9/30/2008
61.411.633/0001-87,BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA,CANCELADA,7/20/1977,6/14/1909,8/31/2006
13.009.717/0001-46,BANCO DO ESTADO DE SERGIPE SA,ATIVO,7/20/1977,6/18/1963,
04.913.711/0001-08,BANCO DO ESTADO DO PARÁ S/A.,ATIVO,7/20/1977,7/1/1960,
06.833.131/0001-36,BANCO DO ESTADO DO PIAUÍ S.A. - BEP,CANCELADA,6/22/1978,3/1/1946,11/28/2008
92.702.067/0001-96,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,ATIVO,7/20/1977,9/12/1928,
07.237.373/0001-20,BANCO DO NORDESTE DO BRASIL SA,ATIVO,7/20/1977,7/19/1952,
